name,date,diameter_min_m,diameter_max_m,miss_distance_km,velocity_kph,is_hazardous
456537 (2007 BG),2025-08-01,315.1773332628,704.7579421428,74405700.85709482,68281.0787383794,False
(2002 CC14),2025-08-01,29.1443904535,65.1688382168,70596275.45578372,65772.6923778743,False
(2005 OX),2025-08-01,201.6299194428,450.8582061718,25239051.346720207,88153.5618690898,True
(2007 PS25),2025-08-01,21.113244479,47.2106498806,16400660.830912529,42153.7100274608,False
(2012 BA62),2025-08-01,12.4324000554,27.7996916474,56495772.71194786,57818.3431160617,False
(2013 UR5),2025-08-01,64.6479825612,144.557283615,54785275.15430395,23475.471025242,False
(2016 PD1),2025-08-01,45.5569852336,101.8685158322,43505511.472863995,44265.3288985616,False
(2019 WJ),2025-08-01,91.7392059155,205.1351006288,71719079.96526152,33361.5517191649,False
(2019 YA5),2025-08-01,16.7708462163,37.5007521798,46236004.5879571,20382.4879123397,False
(2021 CL),2025-08-01,5.2547853034,11.7500571456,52461680.705878206,20903.6487902417,False
(2022 ED1),2025-08-01,33.9277435382,75.8647408746,63081876.38427994,59175.6865083702,False
(2022 PK20),2025-08-01,152.9519353442,342.0109247198,26253519.591988225,31592.3597182627,False
(2025 DG55),2025-08-01,234.7226375313,524.8557733779,17405805.733007897,41027.631378916,False
(2025 KT),2025-08-01,92.1626548503,206.0819612321,28543416.686362654,23938.4931642978,False
(2025 NJ1),2025-08-01,45.9785188279,102.811093604,26349739.62551097,21771.1352644683,False
(2025 OG2),2025-08-01,92.1626548503,206.0819612321,10894323.378124768,130182.1391849558,False
(2025 OQ4),2025-08-01,24.9203981441,55.7237042765,13592815.788449366,31969.0892495674,False
408982 (2002 SP),2025-07-31,184.7374636151,413.0855266343,50888119.60802962,55032.7467414276,False
(2010 JR34),2025-07-31,7.6657557353,17.1411509231,24921458.539380793,16823.9924958658,False
(2016 AH164),2025-07-31,3.0517923259,6.824015094,52840488.13883334,61181.7342767003,False
(2016 GF216),2025-07-31,27.8326768072,62.2357573367,42844571.77703617,10219.883132,False
(2020 TH2),2025-07-31,40.2304579834,89.9580388169,74296720.78349172,61976.3734795489,False
(2021 QD3),2025-07-31,32.1036917371,71.7860370529,17159494.695066486,23509.1792343772,False
(2022 MX2),2025-07-31,32.2518756454,72.1173863449,31342682.739774927,33452.7421562373,False
(2023 BM4),2025-07-31,48.1454196618,107.6564311691,28472131.850208316,20252.766766754,False
(2023 OX4),2025-07-31,43.5065831396,97.2836773688,65515970.0128395,79211.6324011721,False
(2025 DV24),2025-07-31,5.7617575106,12.8836814636,11460610.152917039,7593.117564177,False
(2025 NV1),2025-07-31,103.8855101016,232.2950624645,25362544.493123718,39573.0845560559,False
(2025 OR),2025-07-31,25.855621208,57.8149266216,4899617.904244223,28692.3317455705,False
(2025 OD1),2025-07-31,25.855621208,57.8149266216,3736704.919277739,44441.2254286206,False
(2025 OC5),2025-07-31,6.9591304358,15.5610887188,4806455.277189604,12279.5914836343,False
(2025 OY8),2025-07-31,7.9461173881,17.7680586371,687726.795148539,38449.778897479,False
442037 (2010 PR66),2025-07-30,372.0103103398,831.8403422506,26869946.17232139,74049.2679646724,True
(2018 WE1),2025-07-30,16.0160337979,35.8129403019,46826539.576779164,41546.3889039912,False
(2021 AX6),2025-07-30,11.1315329608,24.8908643942,71915987.39869988,62966.9932004171,False
(2022 NR),2025-07-30,17.9702854859,40.1827799216,15822831.159269992,25540.7928605928,False
(2022 WF2),2025-07-30,14.4063836669,32.2136531891,60816349.54587764,55383.3604363802,False
(2023 JF),2025-07-30,7.8443141245,17.5404196192,41484756.25048167,53825.1333012659,False
(2023 QB2),2025-07-30,14.9470324236,33.422580561,29397482.385389496,19630.8463784935,False
(2023 VT3),2025-07-30,14.5396842937,32.5117224521,59156517.40589088,29587.377815948,False
(2025 EU),2025-07-30,19.078972262,42.6618789186,29693459.572095808,17303.1980200145,False
(2025 OL1),2025-07-30,26.3363130952,58.8897863577,2077104.611110116,27198.8982898935,False
(2025 ON1),2025-07-30,22.5193046679,50.3546960434,6183138.412380212,11078.6926770991,False
(2025 OE2),2025-07-30,76.3053478702,170.6239448846,9832963.171872491,108060.3090562338,False
(2025 OX3),2025-07-30,12.14940408,27.1668934089,3782867.411128303,33524.6722905751,False
(2025 OU4),2025-07-30,11.8728498794,26.5484994169,699447.803222826,44962.5186244166,False
